"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:8b97ac7e6c0d09c70913b10f5461c52861bbef6a8317c1b4917d50b9f8b4c869","hive","odata_n_tit.d_trd_transfer_pb","交易-收付款记录表","PHYSICAL_IDENTITY","151779;160420;198791;211648","152125;160813","4","2","有写入且被继续读取","资金、保证金与运营分析","","未见复杂算子线索;多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:106c703bc9577502425dc6740b5e029ceb0b890e5ea5e269cdcfd951e2195099","hive","odata_n_tit.d_v_otcm_se_report_pb","视图-运管交易所报备","PHYSICAL_IDENTITY","151780","152123","1","1","有写入且被继续读取","监管与协会报送","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a27e09e8c16b0851fe7a83c27c38e752c9742bb47e94d74845b42db07641165e","mysql","gf_ficc.otc_derivative_counterparty","","PHYSICAL_IDENTITY","","151810","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:25abf154d7adbc21aaa5a0035ccc43a33daa14add126858c74214b33fbf57363","mysql","gf_ficc.counterparty_account","","PHYSICAL_IDENTITY","","151814","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2ffa7c25b4f41f1a4cf33471ae88d1e61d606cacaab27d264ce4dbf6062b1a93","hive","odata_n_oom.f_counterparty_account","","PHYSICAL_IDENTITY","151814","225386","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cd8ce1615cc40689f4436687028208638fe3bc7144ae05d58d078a7f8318ee94","mysql","jxkh.hssorg_history_dept_leader","部门历任负责人","PHYSICAL_IDENTITY","","151956","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:41c762b0fc5076ceed1aecc78d98d38a2476909f863a590b60dcfed80e6d1ddf","hive","pdata_nds.cfg_instrument_pool_props_pb","配置-标的池标的属性表","PHYSICAL_IDENTITY","152121","152216","1","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f301bfd69c655e4bd4ebd072f7153b586b5e090693dbe8d65f962168a7db685b","hive","pdata_nds.otcm_se_report_pb","视图-运管交易所报备","PHYSICAL_IDENTITY","152123","152217;167391","1","2","有写入且被继续读取","监管与协会报送","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c144df423d89641fcec72b34aa0d874aafe7e567c6b2eda34cd85e0ebcf10bbf","hive","pdata_nds.ref_instrument_pb","证券-证券基本信息","PHYSICAL_IDENTITY","152124","152221;167380","1","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fe8342cf722ac46fa5e71289f186152f9fec75a51e19907827b1e7e7ac28245d","hive","pdata_nds.trd_transfer_pb","交易-收付款记录表","PHYSICAL_IDENTITY","152125","152222;167391","1","2","有写入且被继续读取","资金、保证金与运营分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:964450991c2344789bde8ecffa1aab2985319276dfbfc62c1cd492d2f0a9169c","hive","dm_otc_n.cfg_instrument_pool_props","配置-标的池标的属性表-读标版","PHYSICAL_IDENTITY","152216","152251;166636","1","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d2b9ba1ca2d238eb2609b4bb4c914312c928cb22225a8edd7eddc2d568802abe","hive","dm_otc_n.otcm_se_report","视图-运管交易所报备-读标版","PHYSICAL_IDENTITY","152217","166630","1","1","有写入且被继续读取","监管与协会报送","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:3085df7812206d6a7569d830132ca0d78cf5d6960b93d4cd9a2a75f0e5987144","hive","dm_otc_n.ref_instrument","证券-证券基本信息-读标版","PHYSICAL_IDENTITY","152221","166638","1","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8cb15a7233d7bde50540ca50561200d0589b50d908e454fab8a1a646261c285c","hive","dm_otc_n.trd_transfer","交易-收付款记录表-读标版","PHYSICAL_IDENTITY","152222","152246;166640","1","2","有写入且被继续读取","资金、保证金与运营分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1f5316457a025e4534f83bd6a71f3f04d6477dfb704236ea3cb8cba2a9ca5410","hive","dm_om_n.wt_emp_mth_apd_ast_covt_tbl_mth","员工月日均资产折标明细表","PHYSICAL_IDENTITY","152234;152787","","2","0","图内未见后续读取","","","多来源或计算线索;未见复杂算子线索","152787","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a49c96534a982117c362145a5b8d920e9a9fec70034e0b3bb2ac73ee68875d25","hive","dm_om_n.wt_emp_year_apd_ast_covt_tbl_mth","员工年日均资产折标明细表","PHYSICAL_IDENTITY","152257","152789","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ef6d34c3478a496e1caa982705371dc36e5b44c9b72ae2bae2b617060ccb4259","hive","dm_index_n.index_grp1_stdast_covtfrnt_astpkgrela_delcorp_delrepocust_mthapd","员工_标准资产_折算前&资产包关系&剔除企业客群&剔除回购客户&剔除员工持股计划客户&剔除债转股客户&剔除新三板市值&剔除大小非流通市值&剔除限售股市值&剔除非代销托管外包资产_当月日均_无备注信息","PHYSICAL_IDENTITY","153126","152592;152613;189204;199809;199879","1","5","有写入且被继续读取","","","多来源或计算线索","","indicator:ind2024041583146471","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0a00fae99f8f600570cceda753536cfd905fb983ff1bd121239e61923e06f881","hive","dm_om_n.wt_emp_year_apd_ast_covt_tbl_gather_mth","员工年日均资产折标表汇总","PHYSICAL_IDENTITY","152592;152795","","2","0","图内未见后续读取","","","多来源或计算线索;条件转换线索","152795","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
