consumerTaskId,taskCategory,table,readOccurrenceId,identityStatus,partitionPredicateStatus,evidencePath,projectionPath
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_fir_call_time","task:100130:statement:0:relation:root.casttable.t.t4.read.index_grp_gks_restore_order_fir_call_time","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_sum_dura","task:100130:statement:0:relation:root.casttable.t.t5.read.index_grp_gks_restore_order_sum_dura","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_call_times","task:100130:statement:0:relation:root.casttable.t.t6.read.index_grp_gks_restore_order_call_times","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_chan","task:100130:statement:0:relation:root.casttable.t.t7.read.index_grp_gks_restore_order_chan","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_lvl1_chan","task:100130:statement:0:relation:root.casttable.t.t8.read.index_grp_gks_restore_order_lvl1_chan","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"100130","sparkIndex","dm_index_n.index_grp_gks_restore_order_lvl2_chan","task:100130:statement:0:relation:root.casttable.t.t9.read.index_grp_gks_restore_order_lvl2_chan","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\100130\versions\b10a0e94073b71f32974f18e38e868705d9042b0d9d908dafe5064ce01fb764c.json"
"104454","sparkIndex","dm_index_n.grp_tag_indv_highage_clbk_cust","task:104454:statement:0:relation:root.casttable.clbk.m1.a.read.grp_tag_indv_highage_clbk_cust","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.json"
"104454","sparkIndex","dm_index_n.index_grp_highage_cust_slhp_auth_year_erlst_date","task:104454:statement:0:relation:root.casttable.clbk.m1.b.read.index_grp_highage_cust_slhp_auth_year_erlst_date","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.json"
"104454","sparkIndex","dm_index_n.index_grp_highage_cust_cstsv_clbk_year_erlst_date","task:104454:statement:0:relation:root.casttable.clbk.m1.c.read.index_grp_highage_cust_cstsv_clbk_year_erlst_date","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.json"
"104454","sparkIndex","dm_index_n.index_grp_highage_cust_cstsv_brch_clbk_year_erlst_date","task:104454:statement:0:relation:root.casttable.clbk.m1.d.read.index_grp_highage_cust_cstsv_brch_clbk_year_erlst_date","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.json"
