consumerTaskId,readOccurrenceId,table,before,after,reason
"168458","task:168458:statement:0:relation:root.casttable.setop.b0.setop.b1.ast.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"168458","task:168458:statement:0:relation:root.casttable.setop.b1.ast.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"173057","task:173057:statement:0:relation:root.(child).ast.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"173057","task:173057:statement:0:relation:root.(child).vld.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"174041","task:174041:statement:0:relation:root.read.wt_cust_comm_incm_mon","dm_om_n.wt_cust_comm_incm_mon","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"174129","task:174129:statement:0:relation:root.read.wt_cust_oth_incm_mon","dm_om_n.wt_cust_oth_incm_mon","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"174163","task:174163:statement:0:relation:root.read.wt_cust_opt_incm_mon","dm_om_n.wt_cust_opt_incm_mon","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"174164","task:174164:statement:0:relation:root.read.wt_cust_csfc_incm_mon","dm_om_n.wt_cust_csfc_incm_mon","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"174370","task:174370:statement:0:relation:root.(child).ast.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"174370","task:174370:statement:0:relation:root.(child).vld.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"174537","task:174537:statement:0:relation:root.(child).vld.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"174918","task:174918:statement:0:relation:root.(child).vld.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"174933","task:174933:statement:0:relation:root.(child).vld.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"175419","task:175419:statement:0:relation:root.casttable.covt.a.setop.b0.read.index_grp1_cust_docbkamt_covtrmb_tdy_all","dm_index_n.index_grp1_cust_docbkamt_covtrmb_tdy_all","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"175419","task:175419:statement:0:relation:root.casttable.covt.a.setop.b1.read.index_grp1_cust_doctranoamt_covtrmb_tdy_all","dm_index_n.index_grp1_cust_doctranoamt_covtrmb_tdy_all","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"175419","task:175419:statement:0:relation:root.casttable.incm.a.read.index_grp1_cust_incm_allcali_tdy_all","dm_index_n.index_grp1_cust_incm_allcali_tdy_all","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"175419","task:175419:statement:0:relation:root.casttable.total.a.read.index_grp_total_asset_avg_mon","dm_index_n.index_grp_total_asset_avg_mon","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"175427","task:175427:statement:0:relation:root.casttable.covt.a.setop.b0.read.index_grp1_cust_docbkamt_covtrmb_tdy_all","dm_index_n.index_grp1_cust_docbkamt_covtrmb_tdy_all","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"175427","task:175427:statement:0:relation:root.casttable.covt.a.setop.b1.read.index_grp1_cust_doctranoamt_covtrmb_tdy_all","dm_index_n.index_grp1_cust_doctranoamt_covtrmb_tdy_all","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"175427","task:175427:statement:0:relation:root.casttable.incm.a.read.index_grp1_cust_incm_allcali_tdy_all","dm_index_n.index_grp1_cust_incm_allcali_tdy_all","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"175427","task:175427:statement:0:relation:root.casttable.total.a.read.index_grp_total_asset_avg_mon","dm_index_n.index_grp_total_asset_avg_mon","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"176693","task:176693:statement:0:relation:root.casttable.covt.a.setop.b0.read.index_grp1_cust_docbkamt_covtrmb_tdy_all","dm_index_n.index_grp1_cust_docbkamt_covtrmb_tdy_all","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
